address,TOTAL_LOSS_HBAR
0x00000000000000000000000000000000003c8371,13727.855376707499
0x00000000000000000000000000000000003c8c96,61300.78668711
0x00000000000000000000000000000000003c9943,0.677172475
0x00000000000000000000000000000000003dc029,223.37781518
0x00000000000000000000000000000000003e7050,5576.2101460056
0x00000000000000000000000000000000003fc116,2205.11702026
0x00000000000000000000000000000000003ffb2a,226.8750003075
0x0000000000000000000000000000000000403cbf,1871.0
0x000000000000000000000000000000000040e5d0,3902.4901168799997
0x00000000000000000000000000000000004134c5,24739.88460822
0x0000000000000000000000000000000000413ecd,481.934711044
0x0000000000000000000000000000000000414c48,5220.303109740001
0x000000000000000000000000000000000041bedd,246901.2052332625
0x000000000000000000000000000000000041cd14,4180.328350968
0x000000000000000000000000000000000041d8fc,417.8448995
0x000000000000000000000000000000000041e358,126923.30595991001
0x000000000000000000000000000000000041e3be,7487.042531981001
0x000000000000000000000000000000000041fc5d,345.84251504249994
0x00000000000000000000000000000000004201d2,5074.0
0x00000000000000000000000000000000004230b6,774.1059716481
0x000000000000000000000000000000000042396a,362.841638505
0x0000000000000000000000000000000000424fac,29105.0
0x0000000000000000000000000000000000426143,43223.832494105
0x0000000000000000000000000000000000426283,307.5000027675
0x00000000000000000000000000000000004274ea,5156.973643695001
0x0000000000000000000000000000000000428b34,346.61546536000003
0x0000000000000000000000000000000000429a41,1871.0
0x0000000000000000000000000000000000429ab4,1.286806143
0x0000000000000000000000000000000000429f4d,1540.913865
0x000000000000000000000000000000000042abb0,2561.2951167700003
0x000000000000000000000000000000000043a1ee,474.03199179
0x0000000000000000000000000000000000449cda,76920.0
0x000000000000000000000000000000000044a185,1855.7210988112
0x0000000000000000000000000000000000458062,658.5604972296
0x0000000000000000000000000000000000459183,1000.0
0x0000000000000000000000000000000000459917,30780.75
0x000000000000000000000000000000000045cac2,18710.0
0x000000000000000000000000000000000045d3a7,353.011120055
0x000000000000000000000000000000000046108f,7529.246920387501
0x0000000000000000000000000000000000462101,4789.588112619999
0x0000000000000000000000000000000000464ea5,100.98314874
0x0000000000000000000000000000000000466d43,179.3696601525
0x0000000000000000000000000000000000466d6b,2439.91779608
0x000000000000000000000000000000000046d320,114131.0
0x000000000000000000000000000000000047a3f1,214.0373338386
0x000000000000000000000000000000000047bd3c,138041.0
0x0000000000000000000000000000000000489b71,1200.0
0x0000000000000000000000000000000000496e06,439.3328476500001
0x0000000000000000000000000000000000499577,350.0
0x000000000000000000000000000000000049e6a8,9683.9053822725
0x00000000000000000000000000000000004a2104,160.0
0x00000000000000000000000000000000004a5226,451285.6487730252
0x00000000000000000000000000000000004ad6c3,11226.0
0x00000000000000000000000000000000004af644,5533.867869420001
0x00000000000000000000000000000000004b1ec8,16.31813223
0x00000000000000000000000000000000004ba549,2212.7
0x00000000000000000000000000000000004baa4a,94861.0
0x00000000000000000000000000000000004decf4,16225.72235672
0x00000000000000000000000000000000004e469c,650.0
0x00000000000000000000000000000000004e85d0,450.0
0x00000000000000000000000000000000004ec53c,1448.68683357
0x00000000000000000000000000000000004ee88c,5344.650000000001
0x00000000000000000000000000000000004f232b,602.94425821
0x00000000000000000000000000000000004f4756,5537.796542010001
0x000000000000000000000000000000000050a4ca,300.0
0x00000000000000000000000000000000005501a2,1489.47050024
0x000000000000000000000000000000000056fb04,148.7452295
0x0000000000000000000000000000000000570b09,9355.0
0x000000000000000000000000000000000057f834,2100.0
0x00000000000000000000000000000000005b987d,1355.83578589
0x00000000000000000000000000000000005bf646,181846.6050225
0x00000000000000000000000000000000005c83f8,1500.1535939999999
0x00000000000000000000000000000000005c9876,0.5511734100000001
0x00000000000000000000000000000000005e8392,6455.747924955
0x00000000000000000000000000000000006262d6,38547.4515164025
0x00000000000000000000000000000000006bbae0,1821.2867476650001
0x00000000000000000000000000000000006cd120,5.385346999999999
0x00000000000000000000000000000000006d30be,110472.89232608749
0x00000000000000000000000000000000006dbb70,45785.86975782
0x00000000000000000000000000000000006e3566,17682.3687879142
0x0000000000000000000000000000000000709403,69.45155819
0x0000000000000000000000000000000000723228,65.0
0x0000000000000000000000000000000000728274,675.0
0x0000000000000000000000000000000000739f4a,1555.57623755
0x000000000000000000000000000000000073fd3e,774.821955
0x00000000000000000000000000000000007461bd,110.22152939
0x0000000000000000000000000000000000754ede,25763.0
0x000000000000000000000000000000000075babc,8.73137312
0x00000000000000000000000000000000007677f0,37420.0
0x0000000000000000000000000000000000769086,46761.191658854405
0x000000000000000000000000000000000076cadc,4870.6264807200005
0x00000000000000000000000000000000007720c3,7484.0
0x00000000000000000000000000000000007732f6,300.0
0x0000000000000000000000000000000000775738,9355.0
0x000000000000000000000000000000000077a4ab,5613.0
