address;HBAR_VALUE_HBAR;HBARX_VALUE_HBAR;HSUITE_VALUE_HBAR;SAUCE_VALUE_HBAR;XSAUCE_VALUE_HBAR;PACK_VALUE_HBAR;USDC_VALUE_HBAR;NEBULA_GENESIS_VALUE_HBAR;COSMIC_CYPHERS_VALUE_HBAR;TOTAL_LOSS_HBAR
0x000000000000000000000000000000000016a7b0;0.0;0.0;15375.0;0.0;0.0;0.0;-5260.6386035;0.0;0.0;10114.3613965
0x0000000000000000000000000000000000174403;58897.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;58897.0
0x00000000000000000000000000000000001a040c;0.0;25740.0;3540.5932354725005;0.0;2992.5;0.0;0.0;0.0;20581.0;52854.0932354725
0x00000000000000000000000000000000001a113e;0.0;0.0;32187.812548237504;0.0;1711.9164837600001;0.0;0.0;19750.0;37420.0;91069.7290319975
0x00000000000000000000000000000000001a985c;1500.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1500.0
0x00000000000000000000000000000000001b4149;0.0;0.0;1998.75;0.0;0.0;0.0;0.0;0.0;0.0;1998.75
0x00000000000000000000000000000000001b53e4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1871.0;1871.0
0x00000000000000000000000000000000001d2a07;0.03678078;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.03678078
0x00000000000000000000000000000000001f7684;0.0;0.0;415.9515572325;0.0;357.69942558;0.0;0.0;0.0;0.0;773.6509828125
0x0000000000000000000000000000000000201a76;-0.0134279;0.0;449.96465436750003;0.0;865.172425005;0.0;0.0;0.0;0.0;1315.1236514725001
0x0000000000000000000000000000000000213104;0.00034169;191.6169699312;0.0;0.0;63.0;0.0;0.0;0.0;0.0;254.6173116212
0x0000000000000000000000000000000000213206;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3742.0;3742.0
0x0000000000000000000000000000000000215f6f;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1871.0;1871.0
0x00000000000000000000000000000000002167e9;41.83856046;0.0;49.276875000000004;0.0;0.0;0.0;0.0;0.0;0.0;91.11543546
0x00000000000000000000000000000000002a51bc;0.0;0.0;10.2217055925;0.0;0.0;334.488802844;0.0;0.0;0.0;344.7105084365
0x00000000000000000000000000000000002e6741;-16385.6048287;0.0;13145.618976075;0.0;24414.449900085;0.0;0.0;0.0;0.0;21174.464047460002
0x00000000000000000000000000000000002e8596;51919.7604706;0.0;0.0;0.0;0.0;0.000194446;0.0;0.0;0.0;51919.760665046
0x00000000000000000000000000000000002f412d;0.0;0.0;0.0;0.0;4725.0;0.0;0.0;0.0;3742.0;8467.0
0x00000000000000000000000000000000002f51db;4813.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4813.0
0x0000000000000000000000000000000000303ca6;500000.0;0.0;0.0;0.0;0.0;0.0;175000.0;0.0;0.0;675000.0
0x00000000000000000000000000000000003053af;305.64272405;0.0;569.6170556175;0.0;787.63651344;0.0;0.0;0.0;0.0;1662.8962931075
0x0000000000000000000000000000000000305a73;1042517.36976835;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1042517.36976835
0x0000000000000000000000000000000000305c4f;2604.58902309;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2604.58902309
0x0000000000000000000000000000000000311048;0.0;0.0;3075.0076309200003;0.0;0.0;0.0;0.0;0.0;0.0;3075.0076309200003
0x000000000000000000000000000000000031f798;2090.0;0.0;0.0;0.55277208;247.9948758;0.0;0.0;0.0;0.0;2338.54764788
0x0000000000000000000000000000000000326a45;323.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;323.0
0x00000000000000000000000000000000003483b5;0.0;0.0;1325.286016995;0.0;0.0;0.0;0.0;0.0;0.0;1325.286016995
0x00000000000000000000000000000000003500f6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1871.0;1871.0
0x000000000000000000000000000000000038461f;18418.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;18418.0
0x000000000000000000000000000000000039619b;0.0;0.0;0.0;0.0;0.0;0.0;0.0;79000.0;37420.0;116420.0
0x00000000000000000000000000000000003a0489;0.0;-0.0016783800000000001;119.925;0.0;192.15;0.0;245.0;0.0;0.0;557.07332162
0x00000000000000000000000000000000003a632c;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7484.0;7484.0
0x00000000000000000000000000000000003a8883;0.0;0.0;0.0;0.0;314.59768389;0.0;-140.0;0.0;0.0;174.59768388999998
0x00000000000000000000000000000000003bda05;0.0;0.0;0.0;0.0;0.0;0.0;0.0;98750.0;0.0;98750.0
0x00000000000000000000000000000000003bec55;-3500.0;6600.0;4612.5;675.0;1260.0;595.0;-1750.0;19750.0;1871.0;30113.5
0x00000000000000000000000000000000003c3114;900.0;0.0;46.2784434225;1.3495580100000002;0.0;0.0;0.0;0.0;0.0;947.6280014325
0x00000000000000000000000000000000003c7a5e;2462.09001067;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2462.09001067
0x00000000000000000000000000000000003c8075;46000.0;148046.00650414082;0.0;0.0;0.0;0.0;-113750.0;0.0;1871.0;82167.00650414082
0x00000000000000000000000000000000003c8371;9950.0;0.0;1314.0144098475;0.0;2463.3;0.5409668599999999;0.0;0.0;0.0;13727.855376707499
0x00000000000000000000000000000000003c8c96;0.0;0.0;61300.78668711;0.0;0.0;0.0;0.0;0.0;0.0;61300.78668711
0x00000000000000000000000000000000003c9943;0.0;0.0;0.0;0.0;0.0;0.677172475;0.0;0.0;0.0;0.677172475
0x00000000000000000000000000000000003dc029;53.12726432;0.0;86.60450172;83.64604914;0.0;0.0;0.0;0.0;0.0;223.37781518
0x00000000000000000000000000000000003e7050;3260.0;5816.2101460056;0.0;0.0;0.0;0.0;-3500.0;0.0;0.0;5576.2101460056
0x00000000000000000000000000000000003fc116;0.0;0.0;0.0;0.0;2205.12348126;0.0;-0.006461;0.0;0.0;2205.11702026
0x00000000000000000000000000000000003ffb2a;150.0;0.0;76.8750003075;0.0;0.0;0.0;0.0;0.0;0.0;226.8750003075
0x0000000000000000000000000000000000403cbf;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1871.0;1871.0
0x00000000000000000000000000000000004042e5;0.0;0.0;-0.000458175;0.0;0.0;0.0;0.0;0.0;0.0;-0.000458175
0x000000000000000000000000000000000040e5d0;0.0;0.0;492.207582795;0.0;3410.282534085;0.0;0.0;0.0;0.0;3902.4901168799997
0x00000000000000000000000000000000004134c5;0.0;0.0;0.0;-80.96918679000001;24820.85379501;0.0;0.0;0.0;0.0;24739.88460822
0x0000000000000000000000000000000000413ecd;480.0;0.0;0.0;0.0;0.0;1.9347110439999997;0.0;0.0;0.0;481.934711044
0x0000000000000000000000000000000000414c48;0.0;0.0;0.0;5220.303109740001;0.0;0.0;0.0;0.0;0.0;5220.303109740001
0x000000000000000000000000000000000041bedd;190000.0;-396.0;3155.0106731325;54142.19456013;0.0;0.0;0.0;0.0;0.0;246901.2052332625
0x000000000000000000000000000000000041cd14;0.0;0.0;0.0;0.0;0.0;4180.328350968;0.0;0.0;0.0;4180.328350968
0x000000000000000000000000000000000041d8fc;0.0;0.0;0.0;0.0;0.0;0.0;417.8448995;0.0;0.0;417.8448995
0x000000000000000000000000000000000041e358;0.0;0.0;0.0;81.49346712;13332.81249279;0.0;0.0;59250.0;54259.0;126923.30595991001
0x000000000000000000000000000000000041e3be;4200.0;0.0;467.885710395;0.0;1929.904902135;390.410562451;498.841357;0.0;0.0;7487.042531981001
0x000000000000000000000000000000000041fc5d;0.0;23.82783381;1.1433695625;0.0;26.75692467;0.0;294.11438699999997;0.0;0.0;345.84251504249994
0x00000000000000000000000000000000004201d2;8574.0;0.0;0.0;0.0;0.0;0.0;-3500.0;0.0;0.0;5074.0
0x00000000000000000000000000000000004230b6;600.0;-186.05245681440002;139.1854024125;0.0;220.97302605;0.0;0.0;0.0;0.0;774.1059716481
0x000000000000000000000000000000000042396a;0.0;0.0;145.452585435;217.38905307000002;0.0;0.0;0.0;0.0;0.0;362.841638505
0x0000000000000000000000000000000000424fac;0.0;0.0;0.0;0.0;0.0;0.0;0.0;19750.0;9355.0;29105.0
0x0000000000000000000000000000000000426143;39909.10404036;0.0;0.0;1758.4338616200002;0.0;60.326559124999996;1495.968033;0.0;0.0;43223.832494105
0x0000000000000000000000000000000000426283;0.0;0.0;307.5000027675;0.0;0.0;0.0;0.0;0.0;0.0;307.5000027675
0x00000000000000000000000000000000004274ea;0.0;0.0;2240.998316115;0.0;2915.9753275800003;0.0;0.0;0.0;0.0;5156.973643695001
0x00000000000000000000000000000000004275ef;0.0;0.0;0.0;5.4e-07;0.0;0.0;0.0;0.0;0.0;5.4e-07
0x0000000000000000000000000000000000428b34;41.75936266;0.0;0.0;-0.0046899;304.8607926;0.0;0.0;0.0;0.0;346.61546536000003
0x0000000000000000000000000000000000429a41;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1871.0;1871.0
0x0000000000000000000000000000000000429ab4;0.0;0.0;0.0;0.0;0.0;1.286806143;0.0;0.0;0.0;1.286806143
0x0000000000000000000000000000000000429f4d;0.0;0.0;1540.913865;0.0;0.0;0.0;0.0;0.0;0.0;1540.913865
0x000000000000000000000000000000000042abb0;1150.0;0.0;0.0;0.0;1411.29511677;0.0;0.0;0.0;0.0;2561.2951167700003
0x000000000000000000000000000000000043a1ee;0.0;0.0;0.0;0.0;474.03199179;0.0;0.0;0.0;0.0;474.03199179
0x0000000000000000000000000000000000449cda;0.0;0.0;0.0;0.0;0.0;0.0;0.0;39500.0;37420.0;76920.0
0x000000000000000000000000000000000044a185;1125.65785084;-652.9353066588001;0.0;1382.99855463;0.0;0.0;0.0;0.0;0.0;1855.7210988112
0x0000000000000000000000000000000000458062;883.99395654;-225.43345931040002;0.0;0.0;0.0;0.0;0.0;0.0;0.0;658.5604972296
0x0000000000000000000000000000000000459183;1000.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1000.0
0x0000000000000000000000000000000000459917;0.0;0.0;30780.75;0.0;0.0;0.0;0.0;0.0;0.0;30780.75
0x000000000000000000000000000000000045cac2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;18710.0;18710.0
0x000000000000000000000000000000000045d3a7;260.0;0.0;0.0;0.0;93.01112005499999;0.0;0.0;0.0;0.0;353.011120055
0x000000000000000000000000000000000046108f;0.0;0.0;8579.2469203875;0.0;0.0;0.0;-1050.0;0.0;0.0;7529.246920387501
0x0000000000000000000000000000000000462101;2800.00000001;0.0;0.0;0.0;3180.19440249;2243.93218462;-3434.5384745;0.0;0.0;4789.588112619999
0x0000000000000000000000000000000000464ea5;0.0;0.0;0.0;100.98314874;0.0;0.0;0.0;0.0;0.0;100.98314874
0x0000000000000000000000000000000000466d43;78.46452561;0.0;100.90513454250001;0.0;0.0;0.0;0.0;0.0;0.0;179.3696601525
0x0000000000000000000000000000000000466d6b;2000.0;0.0;0.0;0.0;439.91779607999996;0.0;0.0;0.0;0.0;2439.91779608
0x000000000000000000000000000000000046d320;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;114131.0;114131.0
0x000000000000000000000000000000000047a3f1;0.0;152.2552155036;61.782118335;0.0;0.0;0.0;0.0;0.0;0.0;214.0373338386
0x000000000000000000000000000000000047bd3c;0.0;0.0;0.0;0.0;0.0;0.0;0.0;98750.0;39291.0;138041.0
0x0000000000000000000000000000000000489b71;1200.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1200.0
0x0000000000000000000000000000000000496e06;0.0;0.0;0.0;439.3328476500001;0.0;0.0;0.0;0.0;0.0;439.3328476500001
0x0000000000000000000000000000000000499577;0.0;0.0;0.0;0.0;0.0;0.0;350.0;0.0;0.0;350.0
0x000000000000000000000000000000000049e6a8;6000.0;0.0;1755.5697937575;0.0;1928.3355885150002;0.0;0.0;0.0;0.0;9683.9053822725
0x00000000000000000000000000000000004a2104;160.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;160.0
0x00000000000000000000000000000000004a5226;2810.00000002;1495.7388144072002;3072.80939091;12142.370395890002;11854.147540095;-15927.573952297;280545.156584;0.0;155293.0;451285.6487730252
0x00000000000000000000000000000000004ad6c3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;11226.0;11226.0
0x00000000000000000000000000000000004af644;10000.0;0.0;208.72534692000002;0.0;0.0;0.0;-4674.8574775;0.0;0.0;5533.867869420001
0x00000000000000000000000000000000004b1ec8;0.38813223;0.0;0.0;15.930000000000001;0.0;0.0;0.0;0.0;0.0;16.31813223
0x00000000000000000000000000000000004ba549;0.0;0.0;0.0;1379.7;0.0;833.0;0.0;0.0;0.0;2212.7
0x00000000000000000000000000000000004baa4a;0.0;0.0;0.0;8100.000000000001;27720.0;0.0;0.0;19750.0;39291.0;94861.0
0x00000000000000000000000000000000004decf4;16225.72235672;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;16225.72235672
0x00000000000000000000000000000000004e469c;650.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;650.0
0x00000000000000000000000000000000004e85d0;450.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;450.0
0x00000000000000000000000000000000004ec53c;675.37844807;0.0;0.0;0.0;0.0;0.0;773.3083855;0.0;0.0;1448.68683357
0x00000000000000000000000000000000004ee88c;4425.0;889.6800000000001;0.0;29.970000000000002;0.0;0.0;0.0;0.0;0.0;5344.650000000001
0x00000000000000000000000000000000004f232b;602.94425821;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;602.94425821
0x00000000000000000000000000000000004f4756;0.0;0.0;0.0;5537.796542010001;0.0;0.0;0.0;0.0;0.0;5537.796542010001
0x000000000000000000000000000000000050a4ca;300.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;300.0
0x0000000000000000000000000000000000538c99;-3.03e-06;1.32e-08;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-3.0167999999999996e-06
0x00000000000000000000000000000000005501a2;599.61604517;0.0;0.0;889.85445507;0.0;0.0;0.0;0.0;0.0;1489.47050024
0x000000000000000000000000000000000056fb04;0.0;0.0;0.0;0.0;0.0;0.0;148.7452295;0.0;0.0;148.7452295
0x0000000000000000000000000000000000570b09;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9355.0;9355.0
0x000000000000000000000000000000000057f834;0.0;0.0;0.0;0.0;0.0;0.0;2100.0;0.0;0.0;2100.0
0x00000000000000000000000000000000005b987d;1355.83578589;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1355.83578589
0x00000000000000000000000000000000005bf646;218365.0;0.0;0.0;0.0;0.0;0.0;-38389.3949775;0.0;1871.0;181846.6050225
0x00000000000000000000000000000000005c83f8;800.0;0.0;0.0;0.0;0.0;0.0;700.153594;0.0;0.0;1500.1535939999999
0x00000000000000000000000000000000005c9876;0.0;0.0;0.0;0.5511734100000001;0.0;0.0;0.0;0.0;0.0;0.5511734100000001
0x00000000000000000000000000000000005e8392;3000.0;0.0;3455.747924955;0.0;0.0;0.0;0.0;0.0;0.0;6455.747924955
