hedera_id;HBAR_VALUE_HBAR;HBARX_VALUE_HBAR;HSUITE_VALUE_HBAR;SAUCE_VALUE_HBAR;XSAUCE_VALUE_HBAR;PACK_VALUE_HBAR;USDC_VALUE_HBAR;NEBULA_GENESIS_VALUE_HBAR;COSMIC_CYPHERS_VALUE_HBAR;TOTAL_LOSS_HBAR
0.0.4324445;0.0;23.82783381;1.1433695625;0.0;26.75692467;0.0;294.11438699999997;0.0;0.0;345.84251504249994
0.0.4325842;8574.0;0.0;0.0;0.0;0.0;0.0;-3500.0;0.0;0.0;5074.0
0.0.4337846;600.0;-186.05245681440002;139.1854024125;0.0;220.97302605;0.0;0.0;0.0;0.0;774.1059716481
0.0.4340074;0.0;0.0;145.452585435;217.38905307000002;0.0;0.0;0.0;0.0;0.0;362.841638505
0.0.4345772;0.0;0.0;0.0;0.0;0.0;0.0;0.0;19750.0;9355.0;29105.0
0.0.4350275;39909.10404036;0.0;0.0;1758.4338616200002;0.0;60.326559124999996;1495.968033;0.0;0.0;43223.832494105
0.0.4350595;0.0;0.0;307.5000027675;0.0;0.0;0.0;0.0;0.0;0.0;307.5000027675
0.0.4355306;0.0;0.0;2240.998316115;0.0;2915.9753275800003;0.0;0.0;0.0;0.0;5156.973643695001
0.0.4355567;0.0;0.0;0.0;5.4e-07;0.0;0.0;0.0;0.0;0.0;5.4e-07
0.0.4361012;41.75936266;0.0;0.0;-0.0046899;304.8607926;0.0;0.0;0.0;0.0;346.61546536000003
0.0.4364865;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1871.0;1871.0
0.0.4364980;0.0;0.0;0.0;0.0;0.0;1.286806143;0.0;0.0;0.0;1.286806143
0.0.4366157;0.0;0.0;1540.913865;0.0;0.0;0.0;0.0;0.0;0.0;1540.913865
0.0.4369328;1150.0;0.0;0.0;0.0;1411.29511677;0.0;0.0;0.0;0.0;2561.2951167700003
0.0.4432366;0.0;0.0;0.0;0.0;474.03199179;0.0;0.0;0.0;0.0;474.03199179
0.0.4496602;0.0;0.0;0.0;0.0;0.0;0.0;0.0;39500.0;37420.0;76920.0
0.0.4497797;1125.65785084;-652.9353066588001;0.0;1382.99855463;0.0;0.0;0.0;0.0;0.0;1855.7210988112
0.0.4554850;883.99395654;-225.43345931040002;0.0;0.0;0.0;0.0;0.0;0.0;0.0;658.5604972296
